tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
Face Mill;1;1;1;1;0;97QTT505;779.6834.6917;mm;Yes;Niagara Cutter;HSK-A63;10;0.3937;18;N/A;N/A;N/A;192.02;52.0;83.04;1;N/A;3;HSS;Titanium Nitride;Type 3;6_F_12;1;0;1;0;N/A;N/A;N/A;4_E_7;25;tool;High-feed Face Mill
Sphere Mill;0;1;1;0;0;64KKL924;741.4001.4198;mm;No;SECO;SK-40;10;0.3937;12;N/A;N/A;N/A;182.0;46.0;63.03;7;45°;N/A;VHM;Titanium Nitride;N/A;2_C_1;9;2;7;2;2_A_2;N/A;N/A;N/A;15;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;84FKZ835;709.2096.8273;mm;Yes;Sandvik;HSK-A63;2;0.0787;28;N/A;N/A;N/A;69.85;41.16;53.0;1;45°;0.4;VHM;Titanium Nitride;N/A;6_A_15;1;1;0;1;N/A;1_D_4;N/A;N/A;7;tool;Double-sided Chamfer Mill
Thread Tap;0;0;0;0;1;65AXP946;746.6718.2964;mm;Yes;KENNAMETAL;HSK-A63;4.5;0.1772;21;M8;N/A;N/A;162.47;102.33;161.0;1;45°;1;HSS;Diamond;N/A;5_D_2;11;1;10;4;N/A;N/A;1_F_9;N/A;30;tool;Blind Hole Thread Tap
Chamfer Mill;0;1;1;1;0;21CON329;750.5860.9921;inch;No;SECO;SK-40;31.75;1.25;37;N/A;N/A;N/A;106.0;18.41;46.0;4;30°;N/A;HSS;Titanium Nitride;Type 1;5_B_14;9;2;7;0;2_F_10;N/A;N/A;N/A;30;tool;Double-sided Chamfer Mill
Sphere Mill;1;1;0;1;0;87AFU778;774.4858.9466;inch;Yes;Niagara Cutter;HSK-A63;50.8;2;19;N/A;N/A;N/A;143.54;35.0;48.0;2;N/A;N/A;VHM;Diamond;Type 2;5_A_7;4;4;0;0;N/A;N/A;N/A;3_F_7;49;tool;Sphere Mill
T-Slot Mill;0;0;0;0;1;89ZTP270;730.8744.5378;inch;Yes;Niagara Cutter;SK-40;9.525;0.375;14;N/A;11;14.6269;80.0;17.82;20.17;2;45°;0.03;VHM;None;Type 2;2_B_4;8;2;6;7;N/A;N/A;N/A;4_F_10;7;tool;Radius T-Slot Mill
Sphere Mill;1;1;0;0;0;37PWS974;753.9336.5394;mm;Yes;Sandvik;HSK-A63;3.5;0.1378;12;N/A;N/A;N/A;117.75;28.84;91.74;7;45°;1;HSS;Aluminium Titanium Nitride;Type 3;4_C_3;7;5;2;3;N/A;1_C_1;N/A;N/A;36;tool;Sphere Mill
End Mill;0;0;0;0;0;60ENA978;781.6344.3720;inch;No;SECO;SK-40;12.7;0.5;50;N/A;N/A;N/A;90.38;16.0;69.23;7;N/A;N/A;HSS;None;N/A;5_F_9;8;5;3;0;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Sphere Mill;0;0;0;0;1;38QXU273;750.9339.7483;mm;No;Niagara Cutter;SK-40;20;0.7874;32;N/A;N/A;N/A;169.0;53.29;99.0;9;90°;N/A;VHM;None;Type 1;2_C_5;3;0;3;3;N/A;N/A;N/A;4_B_15;7;tool;Sphere Mill
Thread Tap;0;0;0;0;1;37ZHT931;795.6744.5561;inch;No;Garant;HSK-A63;31.75;1.25;34;M8;N/A;N/A;105.0;74.0;77.0;9;N/A;0.12;VHM;None;Type 2;5_A_9;10;5;5;3;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Face Mill;0;0;0;0;1;17SVA688;764.5262.7087;mm;No;Niagara Cutter;HSK-A63;3.5;0.1378;13;N/A;N/A;N/A;172.59;39.0;44.92;2;45°;N/A;HSS;Aluminium Titanium Nitride;Type 3;5_B_9;1;1;0;0;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
